ticker,timeframe,signal_date,divergence_type,signal_close,entry_date,entry_price,first_peak_price,second_peak_price,first_peak_rsi,second_peak_rsi
AAL,1d,2025-04-08,Bullish,9.07,2025-04-09,11.12,10.67,9.07,16.372813692740152,24.93211195947309
AAL,3d,2025-01-09,Bearish,18.38,2025-01-12,18.21,17.4,18.38,85.54230579638767,75.22646478647066
ABBV,1d,2022-01-12,Bearish,137.28999,2022-01-13,133.52,135.92999,137.28999,79.86393969432946,76.31945703232027
ABBV,1d,2024-01-23,Bearish,167.5,2024-01-24,164.22,164.89,167.5,82.62355074798482,77.43522769358577
ABBV,1d,2024-02-07,Bearish,175.0099945,2024-02-08,174.78999,164.89,175.0099945,82.62355074798482,78.78331575541017
ABT,1d,2025-02-05,Bearish,132.059998,2025-02-06,128.22,129.42999,132.059998,79.80559120728302,76.98295550711623
ABT,1d,2023-10-12,Bullish,90.19,2023-10-13,90.87,95.53,90.19,22.071829865057722,24.21373670456596
ACN,1d,2021-07-27,Bearish,319.89001,2021-07-28,316.31,314.94,319.89001,79.23141330345929,75.59760369912325
ACN,1d,2025-04-08,Bullish,281.39001,2025-04-09,299.94,300.91,281.39001,19.939763247717124,24.526571787160464
ACN,1w,2022-01-02,Bearish,414.54999,2022-01-09,370.75,343.32999,414.54999,83.70225093530935,79.92941821566619
ADBE,1d,2023-07-18,Bearish,532.22998,2023-07-19,527.16998,495.17999,532.22998,82.05265689104148,77.93724861395265
ADBE,3d,2023-07-16,Bearish,532.22998,2023-07-19,520.22998,495.17999,532.22998,80.26538756551008,79.32763616949163
ADM,3d,2021-06-02,Bearish,68.77,2021-06-05,68.66,67.66,68.77,82.87017716442766,76.62982320968877
ADP,1d,2025-11-20,Bullish,249.059998,2025-11-21,253.12,252.36,249.059998,18.219196901636877,21.41245231903396
AEE,1d,2022-04-20,Bearish,98.51,2022-04-21,97.81,97.13,98.51,77.78884394194857,75.50937401590913
AEP,3d,2024-09-14,Bearish,104.95,2024-09-17,101.74,101.79,104.95,82.28410487075114,77.83541471070765
AES,1d,2024-05-30,Bearish,21.77,2024-05-31,21.59,21.28,21.77,81.23217966092912,75.36733458942507
AFL,1d,2022-02-08,Bearish,66.040001,2022-02-09,66.040001,64.059998,66.040001,78.21572356492446,75.78873224416616
AFL,1d,2022-02-09,Bearish,66.040001,2022-02-10,65.55,64.059998,66.040001,78.21572356492446,75.78873224416616
AFL,3d,2024-10-02,Bearish,115.26,2024-10-05,111.84,110.49,115.26,85.01673024634547,79.21450717770281
ALGN,3d,2022-06-15,Bullish,234.47,2022-06-21,251.12,259.53,234.47,20.318488753358977,23.75154232690514
AMD,3d,2024-03-06,Bearish,207.39,2024-03-09,198.39,177.83,207.39,77.4044302110645,77.37522063098912
AME,1d,2024-11-22,Bearish,197.38,2024-11-25,197.12,195.42,197.38,78.28013948053255,76.74457211388845
AMGN,1d,2024-02-01,Bearish,324.56,2024-02-02,323.19,310.88,324.56,81.6779242200927,77.38720855205219
AMGN,3d,2024-01-30,Bearish,324.56,2024-02-02,323.19,310.88,324.56,78.10092479202875,77.53480897282573
AMP,1d,2024-11-06,Bearish,567.42999,2024-11-07,547.60999,523.15997,567.42999,84.5787270210298,80.81510547761616
AMT,3d,2021-09-06,Bearish,303.62,2021-09-09,293.88,285.26001,303.62,78.24721336220279,76.99010220234896
APA,1d,2021-11-08,Bearish,30.66,2021-11-09,30.01,28.22,30.66,77.86758597087649,76.33676407384851
APH,1d,2025-07-03,Bearish,99.46,2025-07-07,98.55,94.6,99.46,81.52393426318808,75.96231266061001
APH,3d,2024-04-05,Bearish,58.69,2024-04-08,57.38,55.405,58.69,78.95760579124558,75.93496219749316
APO,1d,2024-11-11,Bearish,166.75,2024-11-12,163.75,146.28999,166.75,80.0861582726131,76.1418569629081
APO,1w,2021-10-24,Bearish,79.72,2021-10-31,76.95,64.23,79.72,80.27728019398877,78.1160401156558
APO,1w,2024-04-07,Bearish,114.67,2024-04-14,110.13,112.71,114.67,79.80661093016055,75.69909815004898
APP,1d,2023-06-05,Bearish,25.6,2023-06-06,23.3,25.12,25.6,84.97172023931547,78.08144112115764
APP,1d,2023-08-31,Bearish,43.22,2023-09-01,43.19,39.75,43.22,81.88553185429984,78.92916404389307
APP,1w,2025-02-16,Bearish,510.13,2025-02-23,415.31,401.5,510.13,95.70140441874767,81.91201181254269
APTV,1d,2024-11-19,Bullish,52.11,2024-11-20,52.59,53.83,52.11,20.07385323307453,23.570924295452016
ARM,1w,2024-07-07,Bearish,181.19,2024-07-14,181.17999,141.62,181.19,85.49421552479613,76.72902983668422
ASML,3d,2021-02-14,Bearish,603.14001,2021-02-17,594.40002,569.45001,603.14001,84.33529208817062,77.42530679499819
ATO,3d,2022-04-04,Bearish,122.050003,2022-04-07,121.71,116.15,122.050003,77.03286569846469,75.30576548117132
AVB,1w,2022-01-02,Bearish,252.59,2022-01-09,248.87,232.85001,252.59,75.85481157759611,75.06999771365291
AVGO,1d,2023-06-14,Bearish,88.618,2023-06-15,88.343,81.273,88.618,86.56649418637335,80.86604367003157
AVY,1d,2025-01-02,Bullish,183.31,2025-01-03,185.089996,186.25999,183.31,22.34709678801508,23.44947765176326
AWK,1d,2022-02-16,Bullish,146.28999,2022-02-17,148.059998,155.55,146.28999,22.374820590153263,22.378489574762384
AXON,1d,2024-12-05,Bearish,689.78003,2024-12-06,687.69,616.14001,689.78003,91.12160468444898,81.2524559486268
AXON,3d,2024-03-24,Bearish,319.14001,2024-03-27,312.88,315.10001,319.14001,82.83996143008505,78.14190199276734
AZO,1d,2021-04-20,Bearish,1514.10999,2021-04-21,1486.89001,1432.28003,1514.10999,79.70600231791963,77.53918699115175
AZO,1d,2024-03-22,Bearish,3239.32007,2024-03-25,3170.82007,3124.01001,3239.32007,80.2241980733993,78.55293416775596
BA,1d,2024-04-24,Bullish,164.33,2024-04-25,166.81,167.82001,164.33,23.445187173200523,24.239046725695644
BAX,1d,2021-04-22,Bearish,88.010002,2021-04-23,87.87,86.029999,88.010002,81.9747155191542,75.19287123195801
BBWI,1d,2024-07-25,Bullish,33.13,2024-07-26,34.17,36.54,33.13,23.305904617828105,24.817201281223916
BG,1d,2021-11-15,Bearish,96.15,2021-11-16,95.73,92.91,96.15,81.01311013396669,77.69091147763876
BIIB,3d,2025-01-15,Bullish,140.55,2025-01-21,143.67,146.47,140.55,17.919510255711387,22.469237657745353
BK,1d,2024-01-30,Bearish,56.040001,2024-01-31,55.46,55.39,56.040001,81.50228349310555,77.41071491445724
BK,3d,2024-11-28,Bearish,81.87,2024-12-01,80.85,77.3,81.87,79.61698757939405,76.63495479975977
BK,1w,2025-03-02,Bearish,88.95,2025-03-09,85.84,81.87,88.95,81.38130068676065,76.27236307752749
BKR,1d,2024-11-21,Bearish,44.88,2024-11-22,44.25,44.11,44.88,82.41133845806868,76.77692151440303
BLDR,3d,2024-03-21,Bearish,210.53999,2024-03-24,207.039993,199.98,210.53999,78.9310108437004,76.45419442153721
