quarter,total_trades,winning_trades,win_rate,total_pnl,return_pct
2021Q1,15,8,53.33,570.85,3.05
2021Q2,23,9,39.13,659.44,2.81
2021Q3,35,13,37.14,231.68,0.66
2021Q4,29,13,44.83,1257.23,4.34
2022Q1,24,10,41.67,430.22,1.79
2022Q2,14,6,42.86,355.42,2.54
2022Q3,2,1,50.0,72.62,3.63
2022Q4,4,1,25.0,49.32,1.23
2023Q1,1,0,0.0,-50.0,-5.0
2023Q2,13,3,23.08,4.56,0.04
2023Q3,22,3,13.64,-158.34,-0.72
2023Q4,28,18,64.29,2636.43,9.42
2024Q1,47,16,34.04,623.11,1.27
2024Q2,18,5,27.78,60.81,0.34
2024Q3,18,7,38.89,208.89,1.16
2024Q4,44,22,50.0,2184.71,4.67
2025Q1,34,16,47.06,1435.21,4.22
2025Q2,26,2,7.69,-783.79,-3.01
2025Q3,16,1,6.25,-473.24,-2.96
2025Q4,21,12,57.14,264.33,1.26
