ticker,timeframe,divergence_type,signal_date,entry_date,entry_price,initial_shares,initial_capital,total_pnl,total_pnl_pct,num_exits,days_in_trade,result
ENPH,1d,Bearish,2021-01-07,2021-01-08,207.41,4.8214,1000.0,-50.0,-5.0,1,1,Loss
CINF,1d,Bearish,2021-01-19,2021-01-20,92.48,10.8131,1000.0,0.0,0.0,1,17,Breakeven
TAP,1d,Bearish,2021-01-27,2021-01-28,51.98,19.2382,1000.0,-50.0,-5.0,1,1,Loss
FDX,1d,Bullish,2021-01-29,2021-02-01,239.24,4.1799,1000.0,176.75,17.68,3,105,Win
WAT,1d,Bearish,2021-02-02,2021-02-03,281.27,3.5553,1000.0,0.0,0.0,1,37,Breakeven
EBAY,1d,Bearish,2021-02-08,2021-02-09,62.23,16.0694,1000.0,76.3,7.63,2,29,Win
NVR,1d,Bearish,2021-02-08,2021-02-09,4699.74,1.0,4699.74,0.0,0.0,1,19,Breakeven
SNPS,3d,Bearish,2021-02-11,2021-02-14,290.67,3.4403,1000.0,139.24,13.92,3,37,Win
KLAC,3d,Bearish,2021-02-14,2021-02-17,330.67,3.0242,1000.0,80.1,8.01,2,31,Win
ASML,3d,Bearish,2021-02-14,2021-02-17,594.4,1.6824,1000.0,85.58,8.56,2,24,Win
TECH,1d,Bearish,2021-02-16,2021-02-17,101.81,9.8217,1000.0,66.81,6.68,2,19,Win
KIM,1d,Bearish,2021-02-24,2021-02-25,18.62,53.7057,1000.0,-50.0,-5.0,1,8,Loss
CL,3d,Bullish,2021-03-01,2021-03-04,76.06,13.1475,1000.0,75.4,7.54,2,104,Win
COP,1d,Bearish,2021-03-11,2021-03-12,59.19,16.8947,1000.0,70.67,7.07,2,41,Win
NWSA,3d,Bearish,2021-03-19,2021-03-22,25.45,39.2927,1000.0,-50.0,-5.0,1,1,Loss
AZO,1d,Bearish,2021-04-20,2021-04-21,1486.89,1.0,1486.89,0.0,0.0,1,48,Breakeven
ELV,1d,Bearish,2021-04-21,2021-04-22,379.78,2.6331,1000.0,-50.0,-5.0,1,13,Loss
BAX,1d,Bearish,2021-04-22,2021-04-23,87.87,11.3804,1000.0,83.93,8.39,2,103,Win
VICI,3d,Bearish,2021-04-27,2021-04-30,31.7,31.5457,1000.0,0.0,0.0,1,23,Breakeven
ETR,1d,Bearish,2021-04-30,2021-05-03,54.62,18.3083,1000.0,0.0,0.0,1,71,Breakeven
PPG,1d,Bearish,2021-05-06,2021-05-07,179.49,5.5713,1000.0,158.73,15.87,3,103,Win
REG,3d,Bearish,2021-05-06,2021-05-09,64.52,15.4991,1000.0,-50.0,-5.0,1,21,Loss
HD,3d,Bearish,2021-05-06,2021-05-09,330.66,3.0243,1000.0,0.0,0.0,1,53,Breakeven
OMC,3d,Bearish,2021-05-06,2021-05-09,83.74,11.9417,1000.0,112.61,11.26,2,104,Win
ELV,3d,Bearish,2021-05-06,2021-05-09,394.49,2.5349,1000.0,0.0,0.0,1,44,Breakeven
HD,1d,Bearish,2021-05-10,2021-05-11,330.66,3.0243,1000.0,0.0,0.0,1,52,Breakeven
ORLY,1d,Bearish,2021-05-10,2021-05-11,37.32,26.7938,1000.0,0.0,0.0,1,33,Breakeven
FITB,1w,Bearish,2021-05-16,2021-05-23,41.92,23.855,1000.0,74.76,7.48,2,81,Win
MTB,1w,Bearish,2021-05-16,2021-05-23,162.45,6.1557,1000.0,136.42,13.64,3,88,Win
ADM,3d,Bearish,2021-06-02,2021-06-05,68.66,14.5645,1000.0,73.26,7.33,2,99,Win
RF,1w,Bearish,2021-05-30,2021-06-06,22.63,44.1891,1000.0,77.09,7.71,2,80,Win
F,1w,Bearish,2021-06-06,2021-06-13,15.28,65.445,1000.0,69.65,6.97,2,82,Win
C,1w,Bearish,2021-06-06,2021-06-13,76.48,13.0753,1000.0,72.99,7.3,2,42,Win
SCHW,1w,Bearish,2021-06-06,2021-06-13,73.92,13.5281,1000.0,0.0,0.0,1,10,Breakeven
MS,1w,Bearish,2021-06-06,2021-06-13,92.05,10.8637,1000.0,0.0,0.0,1,14,Breakeven
GS,1w,Bearish,2021-06-06,2021-06-13,378.05,2.6452,1000.0,0.0,0.0,1,12,Breakeven
TRGP,1d,Bearish,2021-06-16,2021-06-17,45.36,22.0459,1000.0,-50.0,-5.0,1,1,Loss
SPG,1w,Bearish,2021-06-13,2021-06-20,125.33,7.9789,1000.0,-50.0,-5.0,1,1,Loss
LUV,1d,Bullish,2021-07-19,2021-07-20,51.43,19.4439,1000.0,-50.0,-5.0,1,1,Loss
MSFT,1d,Bearish,2021-07-23,2021-07-26,289.05,3.4596,1000.0,-50.0,-5.0,1,20,Loss
ACN,1d,Bearish,2021-07-27,2021-07-28,316.31,3.1615,1000.0,-50.0,-5.0,1,18,Loss
EQR,1w,Bearish,2021-07-25,2021-08-01,84.13,11.8864,1000.0,-50.0,-5.0,1,94,Loss
CPT,3d,Bearish,2021-07-29,2021-08-01,148.37,6.7399,1000.0,-50.0,-5.0,1,52,Loss
HCA,1d,Bearish,2021-08-03,2021-08-04,248.26,4.028,1000.0,-50.0,-5.0,1,26,Loss
EXR,3d,Bearish,2021-08-01,2021-08-04,175.51,5.6977,1000.0,-50.0,-5.0,1,19,Loss
ISRG,1d,Bearish,2021-08-09,2021-08-10,331.87,3.0132,1000.0,-50.0,-5.0,1,7,Loss
